Feature,Importance
ozone,0.8603183486266175
pm10,0.3738573783846351
nitrogen_dioxide,0.0985743838552923
apparent_temperature,0.04375932111719941
carbon_monoxide,0.0289075592393807
pm2_5,0.028336083476110534
hour,0.02550985025496413
sulphur_dioxide,0.019822101111679775
temperature_2m,0.018754852093803124
pressure_msl,0.01677631434109071
dew_point_2m,0.014672674340402703
winddirection_10m,0.01467122038707757
windspeed_10m,0.011602516811883531
relative_humidity_2m,0.010905999820601945
aqi_change,0.002415078775206892
day,0.0003105718210601956
month,0.0
year,0.0
weekday,0.0
aqi,0.0
is_weekend,0.0
aqi_pct_change,0.0
aqi_lag1,0.0
aqi_lag2,0.0
aqi_lag3,0.0
aqi_roll3,0.0
aqi_roll6,0.0
aqi_roll24,0.0
